Quote_TR,,Author,Topic
Para ve başarı insanları değiştirmez; sadece zaten orada olanı güçlendirirler.,Money and success don't change people; they merely amplify what is already there.,Will Smith,success
"Başarı asla hata yapmamak değil, aynı hatayı ikinci kez yapmamaktır.",Success does not consist in never making mistakes but in never making the same one a second time.,George Bernard Shaw,success
"Azim, başarının büyük bir unsurudur. Kapıyı yeterince uzun süre ve yeterince yüksek sesle çalarsanız, birilerini uyandıracağınızdan emin olabilirsiniz.","Perseverance is a great element of success. If you only knock long enough and loud enough at the gate, you are sure to wake up somebody.",Henry Wadsworth Longfellow,success
Başarı oranınızı artırmak istiyorsanız başarısızlık oranınızı ikiye katlayın.,"If you want to increase your success rate, double your failure rate.",Thomas J. Watson,success
Başarıya giden yol büyük ve kararlı eylemlerde bulunmaktan geçer.,"The path to success is to take massive, determined action.",Tony Robbins,success
Olumlu eyleminiz olumlu düşünceyle birleştiğinde başarı ile sonuçlanır.,Your positive action combined with positive thinking results in success.,Shiv Khera,success
"Gerçek başarı, başarısız olma korkusunu yenmektir.",True success is overcoming the fear of being unsuccessful.,Paul Sweeney,success
"Erteleme, en yaygın ve en ölümcül hastalıklardan biridir. Başarı ve mutluluk üzerindeki etkisi ağırdır.",Procrastination is one of the most common and deadliest of diseases and its toll on success and happiness is heavy.,Wayne Gretzky,success
Edindiğiniz her beceri başarı şansınızı ikiye katlar.,Every skill you acquire doubles your odds of success.,Scott Adams,success
Size başarının formülünü veremem ama başarısızlığın formülünü verebilirim: Herkesi memnun etmeye çalışın.,"I cannot give you the formula for success, but I can give you the formula for failure - which is: Try to please everybody.",Herbert Bayard Swope,success
Başarısızlık başarının anahtarıdır; Her hata bize bir şeyler öğretir.,Failure is the key to success; each mistake teaches us something.,Morihei Ueshiba,success
Başarı başarı üzerine kurulmaz. Başarısızlık üzerine inşa edilmiştir. Hayal kırıklığı üzerine inşa edilmiştir. Bazen felaket üzerine kuruludur.,Success is not built on success. It's built on failure. It's built on frustration. Sometimes its built on catastrophe.,Sumner Redstone,success
Her başarı yalnızca daha zor bir soruna giriş bileti satın alır.,Each success only buys an admission ticket to a more difficult problem.,Henry Kissinger,success
Başarı yüzde 99 başarısızlıktır.,Success is 99 percent failure.,Soichiro Honda,success
"Başarı, olmanız gerektiğine inandığınız kişi olma cesaretine, kararlılığına ve isteğine sahip olmak anlamına gelir.","Success means having the courage, the determination, and the will to become the person you believe you were meant to be.",George A. Sheehan,success
"Başarı neredeyse tamamen motivasyona ve kararlılığa bağlıdır. Kazanmanın sırrı, başka bir çaba göstermek veya başka bir yaklaşımı denemek için gereken ekstra enerjidir.",Success is almost totally dependent upon drive and persistence. The extra energy required to make another effort or try another approach is the secret of winning.,Denis Waitley,success
"Her zaman doğru kararları veremeyeceğimizi, bazen fena halde batıracağımızı kabul etmemiz gerekiyor; başarısızlığın başarının zıttı olmadığını, başarının bir parçası olduğunu anlamalıyız.","We need to accept that we won't always make the right decisions, that we'll screw up royally sometimes - understanding that failure is not the opposite of success, it's part of success.",Arianna Huffington,success
Hiçbir şey kolay gelmez. Başarı sadece kucağınıza düşmez. Bunun için her gün dışarı çıkıp mücadele etmelisiniz.,Nothing comes easy. Success doesn't just drop on your lap. You have to go out and fight for it every day.,Dana White,success
"Bazı insanlar başarıyı hayal eder, bazıları ise her sabah kalkıp bunu gerçekleştirir.","Some people dream of success, while other people get up every morning and make it happen.",Wayne Huizenga,success
Başarısızlık başarının bir parçasıdır.,Failure is a part of success.,Hank Aaron,success
Başarısızlığın tadını çıkarın ve ondan ders alın. Başarıdan asla ders alamazsınız.,Enjoy failure and learn from it. You can never learn from success.,James Dyson,success
"Başarınızın bir ölçüsü, sizinle çalışan diğer kişileri ne ölçüde geliştirdiğinizdir. Başkalarını geliştirirken, kendinizi geliştireceksiniz.","One measure of your success will be the degree to which you build up others who work with you. While building up others, you will build up yourself.",James E. Casey,success
"Başarı bir varış noktası değil, bir yolculuktur.","Success is a journey, not a destination.",Ben Sweetland,success
"Orada ne kadar uzun süre beklerseniz, sizin lehinize bir şeyin olma ihtimali o kadar artar. Ne kadar zor görünürse görünsün, ne kadar uzun süre ısrar ederseniz, başarı olasılığınız da o kadar artar.","The longer you hang in there, the greater the chance that something will happen in your favor. No matter how hard it seems, the longer you persist, the more likely your success.",Jack Canfield,success
Sıradan bir şeyi alışılmadık derecede iyi yapmak başarıyı getirir.,To do a common thing uncommonly well brings success.,Henry J. Heinz,success
İyi olan hiçbir şey kolay elde edilmez ve başarıya giden bir asansör yoktur. Merdivenleri kullanmalısın.,"Nothing good comes easy, and there's no elevator to success. You've got to take the stairs.",Carlos Correa,success
Her başarısızlık başarıya giden bir adımdır.,Every failure is a step to success.,William Whewell,success
"Başarının anahtarı iradedir. Başarılı insanlar, ne hissederlerse hissetsinler, ilgisizliğin, şüphenin veya korkunun üstesinden gelmek için iradelerini kullanarak çabalarlar.","Willpower is the key to success. Successful people strive no matter what they feel by applying their will to overcome apathy, doubt or fear.",Dan Millman,success
Bahaneler her zaman başarıyı yok eder.,Excuses destroy success every time.,Jon Taffer,success
"Başarı, incelikli ve karmaşık teoride uzmanlaşmak değil, daha ziyade sağduyuyu alışılmadık düzeylerde disiplin ve kararlılıkla kucaklamak meselesidir.","Success is not a matter of mastering subtle, sophisticated theory but rather of embracing common sense with uncommon levels of discipline and persistence.",Patrick Lencioni,success
"Eğer insanların içindeki en iyiyi ortaya çıkarabilirseniz, başarı da gelecektir.","If you can bring out the best in people, the success will follow.",Dawn Staley,success
"Hırs başarıya giden yoldur, ısrar ise varacağınız araçtır.","Ambition is the path to success, persistence is the vehicle you arrive in.",William Eardley IV,success
"Herhangi bir çabadaki başarı, bunun gerçek benliğinizin ne ölçüde bir ifadesi olduğuna bağlıdır.",Success in any endeavor depends on the degree to which it is an expression of your true self.,Ralph Marston,success
Başarının ölçüsü mutluluk ve huzurdur.,The measure of success is happiness and peace of mind.,Bobby Davro,success
"Başarı, zayıf yönlerimizi ortadan kaldırarak değil, güçlü yönlerimizi geliştirerek elde edilir.","Success is achieved by developing our strengths, not by eliminating our weaknesses.",Marilyn vos Savant,success
Başarıya giden kısayollar yoktur. Kendinize inanmalı ve asla pes etmemelisiniz.,"There are no shortcuts to success. You have to believe in yourself, and never give up.",Neha Dhupia,success
"Başarının sırrı, insanın hatasını fark etmesi, nerede hata yaptığını anlaması ve bu hatayı düzeltmek için adım atmasıdır.","The secret of success lies in realising one's mistake, understanding where one went wrong and taking steps to rectify that mistake.",J. Jayalalithaa,success
Sanırım bir dereceye kadar başarısızlık korkusuyla motive oluyorum ve başarıya ulaşmak için işleri gerektiği gibi yapmadığınızda neler olabileceğini bilmek beni motive ediyor.,I guess I'm motivated by the fear of failure to some degree and knowing what can happen when you don't do things the way you need to do them to have success.,Nick Saban,success
Durmaksızın tek bir amacı takip etmek: Başarının sırrı budur.,"To follow, without halt, one aim: that's the secret of success.",Anna Pavlova,success
"Başarı ve başarısızlıkta da durum aynıdır. Her zaman ivme olayı vardır, ancak geçmişte olanları arkanızda bırakmanız gerekir.","It's the same with success and failure. There's always the momentum thing, but you just have to put whatever happened in the past behind you.",Ben Stokes,success
Başarının gerçekten bir sırrı yok. Başarınızı kendiniz yaratırsınız.,There's really no secret to success. You make your own success.,Alex Morgan,success
Başarı bir gecede gerçekleşmez.,Success doesn't happen overnight.,Petra Collins,success
"Başarı asla başarısız olmamak değil, her düştüğünde ayağa kalkabilmektir!","Success is not in never failing, but rising everytime you fall!",Jonathan Taylor Thomas,success
"Disiplinli olduğunuz sürece başarılı olabilirsiniz. Disiplin, yapmanız gereken her şeyi yapmanızı sağlayan şeydir.","As long as you have discipline, you can be a success. Discipline is what makes you do everything you need to do.",Anthony Joshua,success
Paylaşılmayan başarı başarısızlıktır.,Success unshared is failure.,John Paul DeJoria,success
"Hepimiz belli bir düzeyde güçle doğduk. Başarının anahtarı, bu doğuştan gelen gücü keşfetmek ve onu her gün yolumuza çıkan zorluklarla başa çıkmak için kullanmaktır.",We were all born with a certain degree of power. The key to success is discovering this innate power and using it daily to deal with whatever challenges come our way.,Les Brown,success
Para başarıyı garanti etmez.,Money does not guarantee success.,Jose Mourinho,success
Başarıyı kişisel olarak bireyin kendisine ve hemcinslerine yaptığı katkılarla ölçtüğümü itiraf etmeliyim.,I must admit that I personally measure success in terms of the contributions an individual makes to her or his fellow human beings.,Margaret Mead,success
Başarı paylaşıldıkça güzeldir.,Success is best when it's shared.,Howard Schultz,success
Başarısızlığı kabul edebildiğinizde eğlenebilir ve başarıya ulaşabilirsiniz.,"Once you can accept failure, you can have fun and success.",Rickey Henderson,success
"Unutmayın, iyi hayatlara sahip olanlar hayalperestler değil, gerçekleştirenlerdir. ","Remember, it isn't the dreamers who have good lives - it's the doers. ",Homer Hickam,success
"Başarı bir süreçtir, bir zihin kalitesi ve varoluş biçimidir, yaşamın içtenlikle onaylanmasıdır.","Success is a process, a quality of mind and way of being, an outgoing affirmation of life.",Alex Noble,success
Bir gecede başarı diye bir şey yoktur.,There's no such thing as an overnight success.,Tory Burch,success
"Kazanan, umutlu, canlı, neşeli zihin tutumudur. İyimserlik başarıyı inşa eder; karamsarlık başarı katilidir.","It is the hopeful, buoyant, cheerful attitude of mind that wins. Optimism is a success builder; pessimism an achievement killer.",Orison Swett Marden,success
"Başarının sırrı, acının ve zevkin sizi kullanması yerine, acıyı ve zevki nasıl kullanacağınızı öğrenmektir. Bunu yaparsanız hayatınızın kontrolü sizdedir. Eğer yapmazsan hayat seni kontrol eder.","The secret of success is learning how to use pain and pleasure instead of having pain and pleasure use you. If you do that, you're in control of your life. If you don't, life controls you.",Tony Robbins,success
Başarı tamamen kararlılıkla ve uzun vadede doğru olanı yapmakla ilgilidir.,Success is all about persistence and doing the right thing for the long term.,Bruce Rauner,success
"Başarı, terimin genel kabul görmüş anlamıyla, içimizdeki güçleri maksimum düzeyde deneyimleme ve gerçekleştirme fırsatı anlamına gelir.","Success, in a generally accepted sense of the term, means the opportunity to experience and to realize to the maximum the forces that are within us.",David Sarnoff,success
Başarının çok dikenli bir pakette geldiğini öğrendim. Kabul edip etmemek size kalmış.,I've learned that success comes in a very prickly package. Whether you choose to accept it or not is up to you.,Sandra Bullock,success
"Başarı asla nihai değildir, başarısızlık asla ölümcül değildir. Önemli olan cesarettir.","Success is never final, failure is never fatal. It's courage that counts.",John Wooden,success
Başarı genellikle kolay veya hızlı değildir.,Success is not usually easy or fast.,Henry Mancini,success
Başarıyla doğduk. Başarısızlıklarımıza dikkat çekenler ve bize başarısızlık olarak atfettikleri şeyler yalnızca başkalarıdır.,"We're born with success. It is only others who point out our failures, and what they attribute to us as failure.",Whoopi Goldberg,success
"Başarıdan hiçbir şey öğrenemezsiniz, yalnızca başarısızlıktan öğrenirsiniz.","You cannot learn anything from success, you only learn from failure.",Jim Dale,success
"Terinizin tadını çıkarın çünkü çok çalışmak başarıyı garanti etmez, ancak o olmadan hiçbir şansınız yoktur.","Enjoy your sweat because hard work doesn't guarantee success, but without it you don't have a chance.",Alex Rodriguez,success
Başarıya giden yolda daima başarısızlığı geçersiniz.,You always pass failure on your way to success.,Mickey Rooney,success
Hiçbir şey başarı kadar başarılı olamaz derler. Ve kesinlikle başarısızlık kadar başarısız olan hiçbir şey yoktur.,"Nothing succeeds, they say, like success. And certainly nothing fails like failure.",Margaret Drabble,success
Başarıya giden yol ile başarısızlığa giden yol neredeyse aynıdır.,The road to success and the road to failure are almost exactly the same.,Colin R. Davis,success
Başarının çalışmaktan önce geldiği tek yer sözlüktür.,The only place success comes before work is in the dictionary.,Vince Lombardi,success
Başarı genellikle onu arayamayacak kadar meşgul olanların başına gelir.,Success usually comes to those who are too busy to be looking for it.,Henry David Thoreau,success
"Başarının herhangi bir sırrı varsa, o da diğer kişinin bakış açısını anlama ve olayları kendi açınızdan olduğu kadar o kişinin açısından da görebilme yeteneğinde yatmaktadır.","If there is any one secret of success, it lies in the ability to get the other person's point of view and see things from that person's angle as well as from your own.",Henry Ford,success
"Büyük insanların çoğu, en büyük başarılarına, en büyük başarısızlıklarının sadece bir adım ötesinde ulaştılar.",Most great people have attained their greatest success just one step beyond their greatest failure.,Napoleon Hill,success
Sözlükte bile çaba ve mücadelenin başarıdan önce geldiğini daima unutmayın.,"Always remember that striving and struggle precede success, even in the dictionary.",Sarah Ban Breathnach,success
Termodinamiğin Dördüncü Yasası: Başarı olasılığı neredeyse bir değilse sıfıra yakındır.,"Fourth Law of Thermodynamics: If the probability of success is not almost one, then it is damn near zero.",David R. Ellis,success
Mutlu olmak çok önemli. Her şeyde başarı mutluluktan geçer.,Being happy is of the utmost importance. Success in anything is through happiness.,Maharishi Mahesh Yogi,success
Her zaman parlak ışıklar olmuyor. Bazen başarıya ulaşabilmek için karanlık tünellerden geçmeniz gerekir.,There's not always bright lights. Sometimes you have to go through dark tunnels to be able to get to the success.,DeSean Jackson,success
Başarı kalıcı değildir ve başarısızlık ölümcül değildir.,Success isn't permanent and failure isn't fatal.,Mike Ditka,success
Hiçbir şeyin tadı başarı gibi değildir.,Nothing tastes like success.,Kartik Aaryan,success
Başarınızın sırrını kendinize sorun. Cevabınızı dinleyin ve uygulayın.,"Ask yourself the secret of your success. Listen to your answer, and practice it.",Richard Bach,success
"Başarınız ve mutluluğunuz sizin elinizdedir. Mutlu olmaya kararlı olun; neşeniz ve siz, zorluklara karşı yenilmez bir ordu oluşturacaksınız.","Your success and happiness lies in you. Resolve to keep happy, and your joy and you shall form an invincible host against difficulties.",Helen Keller,success
"Başarı mükemmelliğin, sıkı çalışmanın, başarısızlıktan öğrenmenin, sadakatin ve ısrarın sonucudur.","Success is the result of perfection, hard work, learning from failure, loyalty, and persistence.",Colin Powell,success
"Sağlam karakter, kişiye yaşamın acil durumlarından etkilenmek yerine üstesinden gelebilmesi için gereken gücü sağlar. Başarısızlık... başarıya giden yoldur.",Sound character provides the power with which a person may ride the emergencies of life instead of being overwhelmed by them. Failure is... the highway to success.,Og Mandino,success
"Üstün insan, üstesinden gelinecek zorluğu ilk ilgi alanı haline getirir; başarı ancak daha sonra gelir.",The superior man makes the difficulty to be overcome his first interest; success only comes later.,Confucius,success
Başarı da başarısızlık da hayatın bir parçasıdır. İkisi de kalıcı değil.,Success and failure are both part of life. Both are not permanent.,Shah Rukh Khan,success
Yaptığınız işi sevmediğiniz sürece asla başarıya ulaşamazsınız.,You never achieve success unless you like what you are doing.,Dale Carnegie,success
Başarının sırrı çok sayıda insanı rahatsız etmektir.,The secret to success is to offend the greatest number of people.,George Bernard Shaw,success
Başarı bir sonuçtur ve bir amaç olmamalıdır.,Success is a consequence and must not be a goal.,Gustave Flaubert,success
"Başarı istediğini elde etmektir. Mutluluk, elde ettiğini sevmektir.",Success is getting what you want. Happiness is liking what you get.,"H. Jackson Brown, Jr.",success
"Arzu, motivasyonun anahtarıdır, ancak aradığınız başarıya ulaşmanızı sağlayacak olan şey, hedefinizin aralıksız peşinde koşma kararlılığı ve kararlılığıdır - mükemmelliğe bağlılık.","Desire is the key to motivation, but it's the determination and commitment to unrelenting pursuit of your goal - a commitment to excellence - that will enable you to attain the success you seek.",Mario Andretti,success
"Büyük bir sosyal başarı, kartlarını sanki sade biriymiş gibi dikkatli oynayan güzel bir kızdır.",A great social success is a pretty girl who plays her cards as carefully as if she were plain.,F. Scott Fitzgerald,success
İnsanın yaptığı işte mutlu olabilmesi için şu üç şeye ihtiyaç vardır: İşe uygun olması gerekir. Çok fazla şey yapmamaları gerekiyor. Ve bunda bir başarı duygusu da olmalı.,"In order that people may be happy in their work, these three things are needed: They must be fit for it. They must not do too much of it. And they must have a sense of success in it.",John Ruskin,success
Başarı merdiveninin tepeleri hiçbir zaman kalabalık değildir.,The ladder of success is never crowded at the top.,Napoleon Hill,success
Bunu başarısızlık olarak düşünmeyin. Bunu zamanla ortaya çıkan bir başarı olarak düşünün.,Don't think of it as failure. Think of it as time-released success.,Robert Orben,success
"Başarının ardındaki sır, insanların düşündüğü kadar bir sır değildir. Oldukça basit. İstediğinizi başarmak için elinizden geldiğince çalışıyor.",The secret behind success isn't as much of a secret as people think. It's pretty simple. It's working as hard as you can to accomplish what you want.,Christian McCaffrey,success
"Büyük başarının en önemli iki şartı şunlardır: Birincisi, doğru zamanda, doğru yerde olmak, ikincisi ise bu konuda bir şeyler yapmak.","The two most important requirements for major success are: first, being in the right place at the right time, and second, doing something about it.",Ray Kroc,success
Herkes başarıyla ilgileniyor ama hiç kimse başarının ardındaki süreci umursamıyor.,"Everybody is interested in success, but nobody cares about the process behind it.",Pratik Gandhi,success
Zayıflığınıza bakmaya ve onu gücünüze dönüştürmeye çalışın. Bu başarıdır.,Try to look at your weakness and convert it into your strength. That's success.,Zig Ziglar,success
"Başarının en kötü yanı, sizin adınıza mutlu olan birini bulmaya çalışmaktır.",The worst part of success is to try finding someone who is happy for you.,Bette Midler,success
"Hayatta bulunması en zor şey dengedir; özellikle ne kadar çok başarı elde ederseniz, kapının diğer tarafına o kadar çok bakarsınız.","The hardest thing to find in life is balance - especially, the more success you have, the more you look to the other side of the gate.",Celine Dion,success
Alçakgönüllülüğün olduğu yerde daha fazla başarı ve kalıcı başarı olur.,"Where there is humility, there is more success, and lasting success.",Patrick Lencioni,success
Bağlılık olmadan kalıcı bir başarı yoktur.,There's no abiding success without commitment.,Tony Robbins,success
Başarının anahtarı sıkı çalışmadır.,Hard work is the key for success.,P. V. Sindhu,success
Başarı sıradan şeyleri olağanüstü derecede iyi yapmaktır.,Success is doing ordinary things extraordinarily well.,Jim Rohn,success
Açık fikirli bir zihin olmadan asla büyük bir başarı elde edemezsiniz.,"Without an open-minded mind, you can never be a great success.",Martha Stewart,success
"Amacın tekliği, kişinin amacı ne olursa olsun, yaşamda başarının temel esaslarından biridir.","Singleness of purpose is one of the chief essentials for success in life, no matter what may be one's aim.",John D. Rockefeller,success
En azından bir ayağını başarısızlığın eşiğinde bulmamış hiç kimse kayda değer bir başarıya ulaşamamıştır.,"No man ever achieved worth-while success who did not, at one time or other, find himself with at least one foot hanging well over the brink of failure.",Napoleon Hill,success
"Hayattaki başarı, büyük şeylerden ziyade küçük şeylere dikkat etmeye dayanır; uzak ve alışılmadık şeylerden ziyade, bize en yakın olan günlük şeylere.",Success in life is founded upon attention to the small things rather than to the large things; to the every day things nearest to us rather than to the things that are remote and uncommon.,Booker T. Washington,success
"Gerçek başarı, gerçek mutluluk özgürlükte ve tatminde yatmaktadır.","True success, true happiness lies in freedom and fulfillment.",Dada Vaswani,success
"Bir insanın bu dünyada yapabileceği en büyük şey, kendisine verilen şeylerden mümkün olan en iyi şekilde yararlanmaktır. Bu başarıdır, başkası yoktur.","The greatest thing a man can do in this world is to make the most possible out of the stuff that has been given him. This is success, and there is no other.",Orison Swett Marden,success
"Giderek grileşen bu dünyaya biraz eğlence ve biraz renk katarken, hayatta büyük başarılar elde edebilen insanlar var.","There are people who can achieve huge success in life, while adding a bit of fun and a splash of colour to this increasingly grey world.",Peter James,success
Başarılı olduğunu düşünen hiç kimse başarısız olamaz; Eğer kazanan olduğunu düşünüyorsa öyledir.,"No man can be a failure if he thinks he's a success; If he thinks he is a winner, then he is.",Robert W. Service,success
Başarının bilimsel bir cevabı yoktur. Bunu tanımlayamazsınız. Sadece onu yaşamalı ve yapmalısınız.,There is no scientific answer for success. You can't define it. You've simply got to live it and do it.,Anita Roddick,success
"Başarı yalnızca üç saniye sürer. Bundan sonra, onu almadan önce nasılsan aynısın.","Success lasts only three seconds. After that, you're the same as you were before you had it.",Robert Shaw,success
"Geçmişte takılıp kalmayın, geleceğin hayalini kurmayın, zihninizi şimdiki ana odaklayın.","Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.",Buddha,life
Hayat aslında çok basit ama biz onu karmaşık hale getirmekte ısrar ediyoruz.,"Life is really simple, but we insist on making it complicated.",Confucius,life
"Bu hayattaki asıl amacımız başkalarına yardım etmektir. Ve eğer onlara yardım edemiyorsan, en azından onlara zarar verme.","Our prime purpose in this life is to help others. And if you can't help them, at least don't hurt them.",Dalai Lama,life
"Günleri hatırlamayız, anları hatırlarız.","We do not remember days, we remember moments.",Cesare Pavese,life
Sürpriz hayatın bize verebileceği en büyük hediyedir.,Surprise is the greatest gift which life can grant us.,Boris Pasternak,life
Gerçek şu ki yarın ne olacağını bilmiyorsun. Hayat çılgın bir yolculuktur ve hiçbir şeyin garantisi yoktur.,"The truth is you don't know what is going to happen tomorrow. Life is a crazy ride, and nothing is guaranteed.",Eminem,life
"Hata yaparak geçirilen bir hayat, hiçbir şey yapmadan geçirilen bir hayattan sadece daha onurlu değil, aynı zamanda daha faydalıdır.","A life spent making mistakes is not only more honorable, but more useful than a life spent doing nothing.",George Bernard Shaw,life
Nasıl yaşanacağı dışında her şey çözüldü.,"Everything has been figured out, except how to live.",Jean-Paul Sartre,life
"Hayat bir dizi doğal ve kendiliğinden değişimdir. Onlara direnmeyin; bu yalnızca üzüntü yaratır. Gerçeklik gerçek olsun. Bırakın olaylar doğal bir şekilde, istedikleri şekilde ilerlemeye devam etsin.",Life is a series of natural and spontaneous changes. Don't resist them - that only creates sorrow. Let reality be reality. Let things flow naturally forward in whatever way they like.,Lao Tzu,life
"Hayatın tüm sırrı, bir şeye derinlemesine, bin şeye de iyi ilgi duymaktır.",The whole secret of life is to be interested in one thing profoundly and in a thousand things well.,Horace Walpole,life
"Hayat, sen başka planlar yapmakla meşgulken olup bitenlerdir.",Life is what happens while you are busy making other plans.,John Lennon,life
Bizi bekleyen hayata sahip olabilmek için planladığımız hayattan vazgeçmeye istekli olmalıyız.,"We must be willing to let go of the life we have planned, so as to have the life that is waiting for us.",E. M. Forster,life
Hayattan keyif alan hiç kimse başarısız değildir.,No man is a failure who is enjoying life.,William Feather,life
"Mutluluğun gerçek sırrı, günlük yaşamın tüm detaylarına içtenlikle ilgi duymaktır.",The true secret of happiness lies in taking a genuine interest in all the details of daily life.,William Morris,life
"Yaşamın içinden geçmeyin, yaşam boyunca büyüyün.","Don't go through life, grow through life.",Eric Butterworth,life
"Hiç kimse, çok az şey yapabileceği için hiçbir şey yapmayan kişiden daha büyük bir hata yapmamıştır.",Nobody made a greater mistake than he who did nothing because he could do only a little.,Edmund Burke,life
"Sadece kısa bir ziyaret için buradasın. Acele etmeyin, endişelenmeyin. Ve yol boyunca çiçeklerin kokusunu aldığınızdan emin olun.","You're only here for a short visit. Don't hurry, don't worry. And be sure to smell the flowers along the way.",Walter Hagen,life
"İyi yaşam, sevgiden ilham alan ve bilgiyle yönlendirilen yaşamdır.",The good life is one inspired by love and guided by knowledge.,Bertrand Russell,life
